机构名称,机构类型,地址,电话,评分,营业时间,经度,纬度,城市,区县,POI_ID,数据来源
壹点灵·心理咨询中心(未来科技城店),心理咨询中心,仓前街道文一西路1338号A座8层-801,4000067825,4.6,24小时营业,119.990133,30.275550,杭州市,余杭区,B0IA3HWCG3,试点地区搜索
益语心医教中心,其他,湖州街534号536号,13554282342;18958142686,4.6,08:30-17:30,120.124625,30.322425,杭州市,拱墅区,B0LDP6T9ZE,试点地区搜索
张怡筠情商·儿童心理(澄心社店),其他,小河路480号运河天地文化艺术园区29幢一楼,15306710085,4.1,09:00-20:30,120.137132,30.322331,杭州市,拱墅区,B0FFJIJTQJ,试点地区搜索
成泰缘泰牌塔罗,其他,将军路68号,19357528937,4.3,12:00-24:00,120.161535,30.248621,杭州市,上城区,B0KG7C6BJV,试点地区搜索
杭州如易心理咨询中心,心理咨询中心,南环路4280号汇智地1-431室,0571-85052923;15381069952,4.1,09:00-20:30,120.151221,30.180669,杭州市,滨江区,B0G3AG9F9U,试点地区搜索
浅橙心理(临平店),其他,西子国际1号楼601,0571-85967777,3.9,24小时营业,120.302725,30.401364,杭州市,临平区,B0JA6UK0H0,试点地区搜索
杭州好心情心理咨询中心(文三路店),心理咨询中心,古涉街道文三西路27-2号二层,,4.1,09:00-18:00,120.111739,30.275835,杭州市,西湖区,B0I32UMJ38,试点地区搜索
天易堂易经疗愈空间,其他,五常街道西溪远洋公馆荆长路576号,13216169781;15945195557;17301205046,4.2,10:00-22:00,120.042904,30.281645,杭州市,余杭区,B0KUZDNSPQ,试点地区搜索
伊智慧健康咨询疗愈中心,其他,西溪蝶园北区紫霞街199号店铺,15397138162,4.1,09:30-21:00,120.063524,30.289676,杭州市,西湖区,B0KARU7SMM,试点地区搜索
浅橙心理(远洋乐堤港店),其他,万通中心E座509室,13336115977,4.0,11:00-20:00,120.146813,30.308041,杭州市,拱墅区,B0KRBSRJRH,试点地区搜索
心鸟心理服务平台(萧山望京店),其他,望京B座1110,13588204463,4.0,24小时营业,120.253557,30.238122,杭州市,萧山区,B0I2FUO62Q,试点地区搜索
杭州心愈岛心理咨询中心,心理咨询中心,翠苑街道天目山路260-274号(万塘路2-18号B座308室),13023689237,4.4,08:30-17:30,120.125761,30.272620,杭州市,西湖区,B0LURA1BV3,试点地区搜索
好心情青少年好心理咨询,心理咨询中心,文新街道文三西路374-3号614室,15330079295,3.8,,120.106337,30.276275,杭州市,西湖区,B0LUPAWZMZ,试点地区搜索
啐啄心理咨询,心理咨询中心,新天地商务楼5幢西楼506,,4.1,07:00-23:00,120.184245,30.327667,杭州市,拱墅区,B0GUYX6AIB,试点地区搜索
杭州附一皮肤病医院,其他,莫干山路759号,18069870872,3.6,08:00-17:30 08:00-16:00 08:00-16:00,120.136808,30.298286,杭州市,拱墅区,B0FFM86MMO,试点地区搜索
浙江省立同德医院翠苑院区门诊大楼精神卫生科(普通),其他,古翠路234号浙江省立同德医院翠苑院区,,,,120.120181,30.284411,杭州市,西湖区,B0FFILK1NS,试点地区搜索
厚果心身医学中心,其他,滨盛路3866号,13116753450,4.3,09:00-18:00,120.166848,30.190289,杭州市,滨江区,B0L1S7QPG9,试点地区搜索
心力空间心理咨询减压中心,心理咨询中心,江陵路601号东方商务会馆A座B楼,,4.1,,120.217474,30.189046,杭州市,滨江区,B0J0H5VYU8,试点地区搜索
安伈心理咨询(金沙湖·佳宝店),心理咨询中心,2号大街551号佳宝科创中心1号楼1006室,15397068131,3.9,09:00-21:00,120.369051,30.310399,杭州市,钱塘区,B0J1GZAQ8A,试点地区搜索
Lucky塔罗(滨江店),其他,滨和路与阡陌路交叉口西120米,,4.1,12:00-20:00,120.222155,30.200571,杭州市,滨江区,B0LDLSQ5X3,试点地区搜索
隐阔心理咨询,心理咨询中心,古墩路97号浙商财富中心2号楼西门329,19511228907,3.3,09:00-21:00,120.100722,30.271793,杭州市,西湖区,B0JAUDQMA2,试点地区搜索
安梦心理中心,其他,紫金港商务大厦3楼359,13388431496,3.9,09:30-20:30,120.097829,30.305129,杭州市,西湖区,B0I22A84QB,试点地区搜索
德瑞姆心理咨询(杭州中心),心理咨询中心,顺福商务中心1幢1301室,17317867822,4.0,10:00-19:00,120.211525,30.265275,杭州市,上城区,B0LG3799WT,试点地区搜索
馨灵心理服务中心(杭机店),其他,学院路50号杭机大厦1009,13732226249,3.8,08:00-20:00,120.130748,30.273754,杭州市,西湖区,B0KG1S1PPB,试点地区搜索
广仁心理咨询,心理咨询中心,康桥路2-1号248室,19550218081,3.8,,120.171310,30.365294,杭州市,拱墅区,B0K3ODTWOP,试点地区搜索
合肥市第四人民医院,其他,黄山路316号,0551-63616310;0551-63666903,,09:00-12:00 14:00-17:00,117.263342,31.843824,合肥市,蜀山区,B022702CDW,试点地区搜索
国药中铁精神病医院,其他,新蚌埠路90号,0551-64215297,,08:00-12:00 14:00-17:30,117.302279,31.887340,合肥市,瑶海区,B0KRXCFV7K,试点地区搜索
肥西精神卫生中心-门诊部,精神专科医院,安徽医科大学第一附属医院南区3号门西北280米,,,,117.170809,31.747869,合肥市,肥西县,B0FFGA5S89,试点地区搜索
合肥立心精神医院,其他,护城路与古河路交叉口西南140米,,,24小时营业,117.414725,31.885252,合肥市,肥东县,B0G1JY6O1Y,试点地区搜索
合肥长淮中医医院-精神科,其他,金寨路158号(中国科大东区地铁站C口步行420米),18656963510,,08:00-17:00,117.268247,31.841420,合肥市,蜀山区,B0H6DZ6F0H,试点地区搜索
合肥长淮中医医院精神康复科,其他,金寨路161号合肥长淮中医医院三楼,0551-67115858,,08:00-17:00,117.268135,31.841307,合肥市,蜀山区,B0K3R74IFW,试点地区搜索
安徽省精神医学中心,其他,北外环路与金庭路交叉口西南180米,,,,117.872015,31.625472,合肥市,巢湖市,B0L6RPYRAJ,试点地区搜索
肥东县精神卫生防治中心,其他,团结大道与解集路交叉口西160米,,,,117.481925,31.896975,合肥市,肥东县,B0GKN5706X,试点地区搜索
巢湖市司集徐氏精神卫生防治院,其他,312国道与003县道交叉口西480米,,,08:00-20:00,117.903121,31.883173,合肥市,巢湖市,B0FFFZV2U7,试点地区搜索
庐江县第三人民医院,其他,合铜路附近,0551-87321324,,24小时营业,117.273575,31.277538,合肥市,庐江县,B0FFGH2P7O,试点地区搜索
合肥市第四人民医院精神卫生楼,其他,三里庵街道黄山路316号合肥市第四人民医院,0551-63666903,,,117.262406,31.843498,合肥市,蜀山区,B0FFH1IDF0,试点地区搜索
合肥市第四人民医院心理健康楼,心理咨询中心,黄山路316号,,4.1,,117.262477,31.842842,合肥市,蜀山区,B0K6Z703O2,试点地区搜索
合肥长淮中医医院-精神心理科,其他,金寨路161号医院三楼,0551-67115858,4.5,08:00-17:00,117.268335,31.841357,合肥市,蜀山区,B0LDDH473Y,试点地区搜索
合肥市第四人民医院心理保健中心,其他,黄山路316号第四人民医院,,,,117.263604,31.842979,合肥市,蜀山区,B022718GCG,试点地区搜索
合肥长兴康复医院-心理科·测评·咨询,其他,新海大道488号,,3.6,,117.351784,31.894315,合肥市,瑶海区,B0LB55PTPG,试点地区搜索
合肥天使儿童医院,其他,南七街道黄山路451号,15357715319,,08:00-17:00,117.241286,31.840800,合肥市,蜀山区,B0FFKC8SMZ,试点地区搜索
安徽静安中西医结合医院,其他,龙岗路101号,0551-64328888;17764404685,,07:30-17:30,117.377180,31.855564,合肥市,瑶海区,B0IR4A0D23,试点地区搜索
合肥友好医院耳鼻喉科,其他,徽州大道693号,18655051203,,08:00-17:30,117.284985,31.837051,合肥市,包河区,B0LGCAOGO4,试点地区搜索
合肥长淮中医医院青少年心理门诊,其他,金寨路158号,,,,117.268335,31.841357,合肥市,蜀山区,B0LU7901HM,试点地区搜索
安徽中医药临床研究中心附属医院,其他,歙县路b区305,13515654528,4.1,08:00-17:30,117.318446,31.814268,合肥市,包河区,B0LGBS5DQX,试点地区搜索
海棠社区医院口腔科门诊,其他,临泉路与颍上路交叉口东80米,,4.3,,117.272393,31.887198,合肥市,庐阳区,B0LR9NOCLO,试点地区搜索
壹点灵·心理咨询中心(天鹅湖店),心理咨询中心,祁门路333号新地中心A(原10幢)办3007B室,4000067825,4.5,24小时营业,117.229211,31.807824,合肥市,蜀山区,B0JK4SS4KR,试点地区搜索
心之力心理咨询,心理咨询中心,休宁路与东至南路交叉口丹青花园北门西行100米临街二楼S035,18056054063;18356015968,4.3,08:00-20:00,117.245138,31.822065,合肥市,蜀山区,B0JG352L5T,试点地区搜索
壹点灵心理咨询中心(四牌楼店),心理咨询中心,逍津街道长江路180号徽盐商务中心2708房屋,4000067825,4.5,24小时营业,117.284448,31.862694,合肥市,庐阳区,B0LA5URHPL,试点地区搜索
安徽诺观心理咨询,心理咨询中心,潜山路468号丰乐苑东区4栋102室,17718118708,4.2,24小时营业,117.231385,31.859724,合肥市,蜀山区,B0KR21HFNX,试点地区搜索
乐观心悦心理,其他,圣大国际商贸中心(大东门地铁站D口步行60米),17354131108,4.1,,117.302408,31.863869,合肥市,瑶海区,B0LGYO98G1,试点地区搜索
合肥中洁心理咨询中心,心理咨询中心,潜山路与天鹅湖路交叉口蔚蓝商务港D座1802-03,0551-65127793;0551-65127835;13349196162,4.0,09:00-21:00,117.233671,31.814040,合肥市,蜀山区,B0G16UZOL1,试点地区搜索
安肯心理咨询(天鹅湖店),心理咨询中心,荷叶地街道祁门路333号新地中心6幢办909室,4000520088,3.9,24小时营业,117.231249,31.807074,合肥市,蜀山区,B0LUCHI7G9,试点地区搜索
善源心理咨询(春天大厦店),心理咨询中心,长江西路3号春天大厦2901室,19355572213,3.8,09:00-18:00,117.266675,31.857925,合肥市,蜀山区,B0IUOA9IG3,试点地区搜索
情感匠人心理咨询事务所,心理咨询中心,栢悦中心9层906,13365517533,3.8,08:00-22:00,117.224251,31.798778,合肥市,蜀山区,B0JB3RGY58,试点地区搜索
史密茨心理医疗,其他,龙岗路与淮南路交叉口青少年活动中心一层,19155102892;4001685660,4.3,08:30-18:00,117.374394,31.847847,合肥市,瑶海区,B0K0275TM4,试点地区搜索
合肥安镜心理咨询有限公司,心理咨询中心,怀宁路288号置地广场C座1005室,18856047721,3.7,09:00-21:00,117.224322,31.805592,合肥市,蜀山区,B0KDA7DVF5,试点地区搜索
合肥一颗心心理咨询,心理咨询中心,安百苑A区7幢201室,13515518217,4.0,24小时营业,117.318708,31.817449,合肥市,包河区,B0LABS1SO0,试点地区搜索
心理咨询工作室,心理咨询中心,当代未来城S1栋119门面,18326035137,3.9,24小时营业,117.374814,31.944253,合肥市,瑶海区,B0KK4RYZL8,试点地区搜索
合肥纳本心理咨询中心,心理咨询中心,井岗路64号(爱至简幸福美学空间),18856946454,3.9,09:00-21:00,117.181956,31.857287,合肥市,蜀山区,B0LUGZJY0V,试点地区搜索
合肥京方东心理咨询,心理咨询中心,蜀山区经济开发区湖光路自主创新产业基地三期(南区)B座9层9-2993,15055196387,3.8,08:30-18:30,117.150521,31.865531,合肥市,蜀山区,B0K23D0WVP,试点地区搜索
安徽徽韵心理咨询有限公司,心理咨询中心,Max科技园7栋704,0551-63511249,4.2,09:00-17:00,117.144119,31.871727,合肥市,蜀山区,B0FFHF8JNO,试点地区搜索
情感匠人(蜀山店),其他,华邦ICC写字楼A座3408室,13365517533,3.6,08:00-22:00,117.232715,31.817506,合肥市,蜀山区,B0G2XLQD9U,试点地区搜索
安徽心思为心理咨询有限公司,心理咨询中心,黄山路498号吉品荟广场写字楼1609,0551-65582515,4.0,,117.234720,31.840440,合肥市,蜀山区,B0JDMC3Y91,试点地区搜索
安徽思量心理咨询服务中心,心理咨询中心,云谷路与江西路交口万达未来领地A座2201室,18130040375,3.7,24小时营业,117.312092,31.712556,合肥市,包河区,B0FFK55PCD,试点地区搜索
乾元青少年心理咨询,心理咨询中心,御景湾公寓2栋1768室,13855195579,3.5,08:00-20:00,117.307522,31.858684,合肥市,瑶海区,B0J1VR341Y,试点地区搜索
安知屿心理咨询,心理咨询中心,锦江大厦A座(安农大地铁站B口旁),18225889040,3.2,09:30-20:00,117.266002,31.857848,合肥市,蜀山区,B0I1A5BZC7,试点地区搜索
红霞心理咨询工作室,心理咨询中心,棋石路与石笋路交口华侨城1期25栋1304室,13156539169;13966678760,3.6,09:00-18:00,117.202591,31.800895,合肥市,肥西县,B0H235Q42J,试点地区搜索
马春燕心理咨询中心,心理咨询中心,金寨路国轩凯旋写字楼2212,15205605677,3.9,08:00-22:00,117.275808,31.855994,合肥市,庐阳区,B0H15ATBIE,试点地区搜索
安徽省精神卫生中心洗衣中心,精神专科医院,合肥市第四人民医院门诊综合楼南门旁,,3.9,24小时营业,117.263326,31.843060,合肥市,蜀山区,B0G09YO3CU,试点地区搜索
安徽中医药大学神经病学研究所附属医院,其他,长江中路357号(三孝口地铁站E口步行310米),0551-62816159;0551-62835522;13965072833,,24小时营业,117.272736,31.860395,合肥市,庐阳区,B022702S2J,试点地区搜索
安徽中医药大学神经病学研究所附属医院门诊部,其他,长江中路357号安徽中医药大学神经病学研究所附属医院,,,,117.272830,31.860437,合肥市,庐阳区,B022717AZE,试点地区搜索
合肥月爱情感心理咨询中心,心理咨询中心,天鹅湖万达2号楼806,18815606979,3.5,09:00-21:00,117.222094,31.819429,合肥市,蜀山区,B0HGJZHBGD,试点地区搜索
萤火虫心理咨询中心(合肥店),心理咨询中心,笔架山街道南二环路3818号天鹅湖万达广场2号写字楼1403室,18656560222,2.1,09:00-18:00,117.221699,31.819422,合肥市,蜀山区,B0KD7CTGZ7,试点地区搜索
爱心灵心理咨询,心理咨询中心,弘阳广场写字楼A座826,15309691616,3.7,09:00-17:00,117.236628,31.851864,合肥市,蜀山区,B0L69DJ8MM,试点地区搜索
安徽森田心理咨询中心,心理咨询中心,黄山路314号省电力设计院宿舍第三生活区4栋201-203室,0551-65296678,4.0,08:00-20:00,117.262969,31.842229,合肥市,蜀山区,B0J33AU0F9,试点地区搜索
奕催眠 YI Hypnosis,其他,百利中心南塔1317室,19305511195,3.7,10:00-18:00,117.234634,31.811360,合肥市,蜀山区,B0L2C7IOZ1,试点地区搜索
否碍悟情感心理周易咨询,其他,绿地中心e座819(薛河地铁站D口步行160米),15951684131,3.5,09:00-20:00,117.268423,31.808756,合肥市,包河区,B0K6M5F319,试点地区搜索
合肥芝麻开门心理咨询,心理咨询中心,南宁东路715号万达茂中心5幢办2305室,0551-62915385;15380407250,4.0,,117.306026,31.705347,合肥市,包河区,B0FFI6UUXX,试点地区搜索
中国完形迪扬心理咨询中心,心理咨询中心,怀宁路282号怀宁路置地广场D座501,,2.8,09:30-21:00,117.223734,31.805061,合肥市,蜀山区,B0JBP965HE,试点地区搜索
回目心理咨询中心(塘溪津门店),心理咨询中心,万年埠街道塘溪津门水街4楼401号,,3.3,24小时营业,117.313855,31.718975,合肥市,包河区,B0L125V323,试点地区搜索
橡果心理咨询中心,心理咨询中心,高新区习友西路百商杰座12栋1506室,,3.6,10:00-21:00,117.194936,31.812634,合肥市,肥西县,B0L16ARCEE,试点地区搜索
合肥心晴好心理咨询中心,心理咨询中心,蜀麓社区服务中心玉兰大道777号1404室,,3.3,,117.164294,31.817505,合肥市,蜀山区,B0L0YZ5RTI,试点地区搜索
合肥怅淮心康心理咨询中心,心理咨询中心,安徽省合肥市包河区骆岗街道(包河经开发区)花园大道与宁夏路交口东北角安粮中心S3幢商307室,,3.4,,117.324215,31.774550,合肥市,包河区,B0LROUWPOL,试点地区搜索
合肥常槐心理咨询中心,心理咨询中心,经济技术开发区莲花社区丹霞路128号1栋3-306室,,3.5,,117.233219,31.766956,合肥市,蜀山区,B0LR255EWT,试点地区搜索
安徽省学习困难干预中心,其他,濉溪路278号置地·财富广场C座,18214738849,3.1,09:00-20:00,117.267075,31.878425,合肥市,庐阳区,B0LKGS1H3W,试点地区搜索
安徽省心理危机干预学会,危机干预中心,黄山路与石台路交叉口西220米,,,08:00-18:00,117.235033,31.840742,合肥市,蜀山区,B0JDMC32LD,试点地区搜索
安徽省心理危机干预学会秘书处,危机干预中心,黄山路459号吉品荟广场写字楼1612,,,,117.235033,31.840742,合肥市,蜀山区,B0L6TGICCS,试点地区搜索
福州市第二总医院神经精神病防治院福州院区,其他,南二环451号,0591-83516102;0591-83516217,,,119.289736,26.025720,福州市,仓山区,B024F05EJN,试点地区搜索
福州神康医院,其他,新店镇蓝盾路3号(福州儿童公园北500米),0591-87922743;0591-87959743;4000874799,,24小时营业,119.296296,26.144631,福州市,晋安区,B0FFHSAQB8,试点地区搜索
福清宜康医院,其他,上迳镇岭胶村上塘70号,0591-85739777,,,119.319148,25.638655,福州市,福清市,B0FFL259GW,试点地区搜索
福州市第二总医院神经精神病防治院闽清院区,其他,梅城镇南山路328号,,,24小时营业,118.871507,26.217630,福州市,闽清县,B0J3GZ0B0U,试点地区搜索
罗源县精神卫生中心,精神专科医院,洪洋乡石塘村2号,,,24小时营业,119.444017,26.540895,福州市,罗源县,B0J1XR2D3U,试点地区搜索
福建三博福能脑科医院-精神心理卫生中心,其他,后县路18号,,,08:00-17:00,119.277558,26.086506,福州市,鼓楼区,B0JKZZMCBF,试点地区搜索
福州市第二总医院神经精神病防治院福州院区(南2门汽车出口),其他,南二环451号福建省精神卫生中心(福州市第四医院),,,,119.288742,26.024529,福州市,仓山区,B0LUUDRG4Y,试点地区搜索
福州市第二总医院神经精神病防治院福州院区门诊,其他,南二环451号福州市第二总医院神经精神病防治院福州院区,,,,119.289808,26.024688,福州市,仓山区,B0J02MBQXP,试点地区搜索
福州市第二总医院神经精神病防治院福州院区住院部,其他,南二环451号福州市第四医院内,,,,119.289847,26.025784,福州市,仓山区,B0FFG0PZWZ,试点地区搜索
西湖社区精神卫生中心,精神专科医院,鼓西街道谢袍巷3号居家养老服务中心内,,,,119.289647,26.087344,福州市,鼓楼区,B0LDDU3ZYR,试点地区搜索
安肯心理咨询(省立医院店),心理咨询中心,东街83号福建国际青年交流中心20层,4000520088,4.5,24小时营业,119.305991,26.086136,福州市,鼓楼区,B0H26C129T,试点地区搜索
福建三博福能脑科医院-心理咨询中心,心理咨询中心,后县路18号,13107695096,4.5,08:00-17:30,119.277745,26.086457,福州市,鼓楼区,B0JKZAHJD6,试点地区搜索
禾好家庭·青少年心理咨询中心(省立医院店),心理咨询中心,东街航空大厦1818(省立医院地铁站B1西南口旁),,3.7,,119.307420,26.086435,福州市,鼓楼区,B0LGLAKTT8,试点地区搜索
福州台江心理医院,其他,五一南路293号,,4.2,,119.314281,26.056445,福州市,台江区,B0KUFZ28ZA,试点地区搜索
全民幸福社心理咨询(福州店),心理咨询中心,金山大道瑞科医药健康产业园5楼一楼,18650990109,4.2,09:00-21:00,119.261719,26.053991,福州市,仓山区,B0K3H53PHJ,试点地区搜索
鼓楼加洲心理门诊部,其他,三友大厦15层(东街口地铁站C口步行120米),0591-88119118,4.3,09:00-21:00,119.298208,26.085612,福州市,鼓楼区,B0HAM73CBP,试点地区搜索
众一泰数字心理健康中心,心理咨询中心,建新镇金洲北路33号5号楼1单元,0591-88532522,4.4,09:00-21:00,119.261934,26.053711,福州市,仓山区,B0JAOZU41I,试点地区搜索
福州枯木逢春心理咨询工作室,心理咨询中心,洪山镇祥屿路126号华润万象城(二期)S9号楼14层25商务办公,13489085368,3.9,09:00-22:00,119.278861,26.076013,福州市,鼓楼区,B0J1CCGSVJ,试点地区搜索
优+少年积极心理成长中心,其他,洪山镇洪山园路6号华润万象城TB楼3202单元,15080458273,4.2,24小时营业,119.276319,26.076182,福州市,鼓楼区,B0JG7UXKPG,试点地区搜索
福州中和正心心理咨询工作室,心理咨询中心,尚文路与上浦路交叉口东100米,,3.8,,119.277644,26.061724,福州市,台江区,B0I6BHS3DW,试点地区搜索
福建一味心理咨询有限公司,心理咨询中心,福沁路怡山创意园南园2号楼4楼,13763804077;13763895192,4.4,09:30-20:30,119.273948,26.067207,福州市,鼓楼区,B0HR47YWCR,试点地区搜索
心定心理青少年咨询中心,其他,点金财富中心商业街观光梯4楼407,0591-83209965;18046063637,3.7,24小时营业,119.276802,26.039019,福州市,仓山区,B0JAPM1CW4,试点地区搜索
明阳心理,其他,世欧王庄B区7号楼,,3.6,09:00-20:30,119.324694,26.071498,福州市,晋安区,B0K2X57NYZ,试点地区搜索
知行致远心理咨询(仓山万达店),心理咨询中心,浦上大道290号万达C区C2座6楼612室,15659191167,3.7,24小时营业,119.275968,26.037944,福州市,仓山区,B0K3UALRJK,试点地区搜索
林凌心理咨询工作室,心理咨询中心,万达soho区c3座610室,13911375183;15959101977,3.4,09:00-20:00,119.275924,26.037865,福州市,仓山区,B0I22RAGDU,试点地区搜索
青春理青少年心理咨询,心理咨询中心,大根路与东街交叉口东南40米,13615031140,3.5,24小时营业,119.307434,26.086410,福州市,鼓楼区,B0J6PP03TY,试点地区搜索
福州福能心理咨询,心理咨询中心,洪山镇工业路东侧福三路北侧洪山园地块华润万象城(二期)S8号楼2层06商务办公,17135771426,4.0,,119.278258,26.076037,福州市,鼓楼区,B0KRVXIX04,试点地区搜索
一味心理东泰禾工作室,其他,东二环泰禾广场一期SOHO7号楼821-22,,4.0,,119.336317,26.092372,福州市,晋安区,B0K1HUIZ7F,试点地区搜索
福州市心理咨询师协会,心理咨询中心,三盛滨江国际2号楼1422,13174508808,4.0,08:30-21:00,119.333936,26.046327,福州市,仓山区,B0K1D9KLIK,试点地区搜索
欣灵心理咨询,心理咨询中心,东二环泰禾广场6号楼2026,15005920879,3.4,09:00-23:00,119.335583,26.092479,福州市,晋安区,B0LUMU8OVO,试点地区搜索
福州沐阳心理咨询有限公司,心理咨询中心,浦上大道216号仓山万达广场C区F15层,18606017626,3.6,09:00-22:00,119.275968,26.037373,福州市,仓山区,B0FFI7VV2S,试点地区搜索
平潭宁静心理咨询,心理咨询中心,竹屿湖东路东星庄110号3层,18559170719,4.1,09:00-21:00,119.789759,25.495021,福州市,平潭县,B0HRK7GTWK,试点地区搜索
觉松心理工作室(纳本心理咨询·福州觉松店),心理咨询中心,商业路1号福州百姓长廊-程,13959113192,3.4,08:00-22:00,119.401447,26.249851,福州市,连江县,B0L66GJZUH,试点地区搜索
知行致远心理咨询青少年中心(仓山店),心理咨询中心,三高路152号海通广场2号楼837号,15259152915;15659191167,1.8,24小时营业,119.329013,26.037073,福州市,仓山区,B0K3UUW7GB,试点地区搜索
福州市鼓楼区未成年人心理健康辅导站,心理咨询中心,鼓屏路46号,0591-87556531,3.8,,119.297715,26.091381,福州市,鼓楼区,B0FFF2SR18,试点地区搜索
心远行心理工作室,其他,华润万象城三期S15-811,,3.9,09:00-21:00,119.277516,26.076880,福州市,鼓楼区,B0LA4U9WMS,试点地区搜索
福州市第二总医院神经精神病防治院福州院区急诊,其他,仓山区南二环451号福州市第二总医院神经精神病防治院福州院区,,,,119.290411,26.024836,福州市,仓山区,B0LUUMPUSA,试点地区搜索
福州我爱我心理咨询中心,心理咨询中心,北二环中路18号恒力博纳广场2号写字楼524室,0591-87900525,3.6,08:00-19:00,119.300307,26.108807,福州市,鼓楼区,B0GUOK27AI,试点地区搜索
心本元福清市心理健康呵护关爱保护服务站,心理咨询中心,音西街道璀璨天元小区6号楼福百社区党群服中心二楼,18559856692,3.3,09:00-18:00,119.358707,25.719042,福州市,福清市,B0JB17BB72,试点地区搜索
福州市仓山区青少年心理咨询中心,心理咨询中心,麦园路18号,0591-83476594,4.0,,119.316069,26.043869,福州市,仓山区,B024F04HFT,试点地区搜索
福州市心本元公益服务中心,其他,旗山大道28-1号,0591-22766901;4000061817,3.9,09:00-18:00,119.225554,26.012844,福州市,闽侯县,B0J6SA28V8,试点地区搜索
晋安区未成年人心理健康辅导站,心理咨询中心,长乐中路119号世欧王庄晋安区妇女儿童活动中心二楼,,3.8,09:00-21:00,119.327520,26.072490,福州市,晋安区,B0FFHNUEVM,试点地区搜索
福州心康心理咨询中心,心理咨询中心,五一南路295号,,3.8,08:00-17:30,119.314486,26.056410,福州市,台江区,B0L2KCGY6N,试点地区搜索
润心林心理咨询中心(鼓楼区店),心理咨询中心,大根路与东街交叉口东南40米,,2.7,,119.307460,26.086389,福州市,鼓楼区,B0LA2UJJOR,试点地区搜索
福州阳光天使社会服务中心心理室,其他,鼓屏路与华林路交叉口南80米,,3.5,,119.296175,26.098925,福州市,鼓楼区,B0L1N9XKB5,试点地区搜索
然和能力康复干预中心(福清中心),其他,音西街道康达路2-210,4006005208,,08:00-18:00,119.351108,25.712689,福州市,福清市,B0K3HU3XO7,试点地区搜索
然和能力康复干预中心(连江中心),其他,莲荷东路41号阳光幼儿园2栋,4006005208,,,119.546195,26.202216,福州市,连江县,B0LD978DED,试点地区搜索
江西省精神卫生中心-综合门诊楼,精神专科医院,上坊路43号,,,08:00-17:00,115.931649,28.677696,南昌市,青山湖区,B0FFM9IDRI,试点地区搜索
江西省精神卫生中心青云谱院区,精神专科医院,金鹰路5号,,,,115.935141,28.613281,南昌市,青云谱区,B0IUHZL6X1,试点地区搜索
江西省荣军优抚医院,其他,玉壶山大道166号,0791-83501196,,,115.736931,28.623914,南昌市,红谷滩区,B0FFHJA0SS,试点地区搜索
南昌安定医院,精神专科医院,昌强路与高新南大道交叉口东北60米,0791-88201333;19970057359,,24小时营业,115.956818,28.635971,南昌市,青山湖区,B0FFI0J6LN,试点地区搜索
进贤惠倩医院,其他,李白段与创业大道交叉口东北120米,0791-85675688,,08:00-12:00 14:00-05:30,116.255038,28.341176,南昌市,进贤县,B0FFHX5F2L,试点地区搜索
江西省精神卫生研究所门诊部,其他,上坊路与青新路交叉口南280米,,,,115.931681,28.677575,南昌市,青山湖区,B0JUJLX8AI,试点地区搜索
南昌二七医院精神分裂症科,其他,二七北路514号,18410386673,,08:00-17:30,115.919331,28.686278,南昌市,东湖区,B0K295IBUN,试点地区搜索
新建区人民医院精神卫生科,其他,,,,,115.866753,28.812966,南昌市,新建区,B0FFFAIIYV,试点地区搜索
东湖区精神残疾康复指导中心,其他,二七北路513号南昌二七医院精神科,0791-88609999,,,115.919374,28.686287,南昌市,东湖区,B0FFHP97J7,试点地区搜索
南昌二七医院(东湖区心理干预中心),其他,二七北路514号,19979161038,4.6,08:00-17:30,115.919695,28.686392,南昌市,东湖区,B031704FKY,试点地区搜索
安肯心理咨询(南大附二医院店),心理咨询中心,八一大道357号财富广场A座29层2906号房,4000520088,4.6,11:00-20:00,115.903944,28.677505,南昌市,东湖区,B0J33OTVEM,试点地区搜索
南昌附一精神心理专科,其他,民德路473号(万寿宫地铁站3号口步行290米),0791-86229120,,,115.884453,28.677048,南昌市,东湖区,B0L0AHC3ZZ,试点地区搜索
南昌市第十二医院公立戒酒中心,其他,民德路493号(万寿宫地铁站3号口步行270米),,4.0,08:00-17:30,115.884665,28.677114,南昌市,东湖区,B0JGHSL6TW,试点地区搜索
南昌悦然心理咨询中心,心理咨询中心,二七北路513号,19979161038,4.0,08:00-17:30,115.919334,28.686269,南昌市,东湖区,B0HUKC7ZYY,试点地区搜索
李清念心理工作室,其他,合悦滨江7栋204,13609794348,3.8,09:00-21:30,115.834960,28.596799,南昌市,南昌县,B0KDA7NL85,试点地区搜索
纳本心理咨询中心(红谷滩店),心理咨询中心,国际金融中心E座1306室,18163795436,3.9,09:00-18:00,115.867275,28.690325,南昌市,红谷滩区,B0H3JS4YAK,试点地区搜索
心朗心理咨询,心理咨询中心,民德路465号111室,18970986259,3.9,08:00-17:30,115.885358,28.677299,南昌市,东湖区,B0LRVAJ98H,试点地区搜索
君满心理,其他,南昌小商品城二期30栋2单元202室,4001682087,4.4,09:00-17:00,115.838640,28.599913,南昌市,南昌县,B0I12S6W3B,试点地区搜索
懂你教育(心理咨询中心),心理咨询中心,文卫路255弄14栋,19527514895,3.8,10:00-22:00,115.942139,28.548128,南昌市,南昌县,B0KALHHKLU,试点地区搜索
